trading_date,price_AAPL,price_TSLA,price_JPM,price_NVDA
2023-11-06,178.5589,219.5877,143.726,45.5043
2023-11-07,181.2627,219.1401,143.8009,45.891
2023-11-08,182.6566,220.3064,144.4364,46.4494
2023-11-09,182.912,211.8254,144.6159,47.4962
2023-11-10,185.4104,211.7762,145.7171,47.9785
2023-11-13,184.8317,221.1108,145.6779,48.7254
2023-11-14,187.2038,234.6568,148.3564,49.5321
2023-11-15,188.4191,242.712,149.6165,49.0032
2023-11-16,189.7109,235.5195,150.8621,48.978
2023-11-17,189.6022,233.2793,152.4712,49.369
2023-11-20,191.2984,234.2284,153.0212,49.9569
2023-11-21,190.51,240.8894,153.0736,49.7739
2023-11-22,191.7223,234.7311,153.3917,48.8055
2023-11-24,189.7899,236.3998,153.7519,48.1534
2023-11-27,189.7974,235.6226,153.0768,48.1839
2023-11-28,190.165,241.1269,153.4894,47.8173
2023-11-29,189.9974,248.0515,154.7389,48.241
2023-11-30,189.337,240.6912,155.6861,46.9674
2023-12-01,190.8613,236.4795,157.0469,46.7447
2023-12-04,188.916,236.4293,157.5082,45.4364
2023-12-05,193.1715,241.0369,157.8068,46.1555
2023-12-06,192.8014,243.3527,157.1302,46.2359
2023-12-07,194.3967,240.8987,156.7485,46.2735
2023-12-08,195.1638,243.0075,158.1768,47.3927
2023-12-11,192.7089,240.1813,158.9134,46.5326
2023-12-12,193.7834,235.8497,160.2054,47.1444
2023-12-13,196.9085,233.8525,160.8838,48.1782
2023-12-14,198.2872,248.748,163.5548,48.1291
2023-12-15,197.56,252.0408,164.5975,48.9406
2023-12-18,195.6255,254.9377,166.2396,49.8968
2023-12-19,196.5277,256.1921,167.7227,49.3148
2023-12-20,196.142,254.4666,167.6426,49.1798
2023-12-21,194.7425,252.0455,166.9735,48.7442
2023-12-22,194.1013,255.1771,167.6039,48.9789
2023-12-26,193.1713,256.3719,168.3705,49.3569
2023-12-27,192.5679,261.7265,169.0729,49.3587
2023-12-28,193.9222,258.4918,170.2257,49.6423
2023-12-29,192.5761,250.3555,170.1627,49.5195
